Transcripts	CT_1	CT_2	CT_3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
transcript_4523	3705.27	3719.51	4399.3	2613.92	2324.22	1799.46	1709.75	2372.91	2540.38	3162.91	2352.32	1462.72	2572.56	2429.03	3686.06
transcript_4524	47.96	49.51	58.56	56.15	61.05	66.65	44.22	45.59	51.07	47.08	45.31	92.83	44.09	44.6	50.56
transcript_4525	3.38	8.21	11.58	11.92	7.28	10.13	8.18	10.65	8.09	9.05	4.47	12.7	2.92	7.47	6.85
transcript_4526	54.71	22.69	64.39	41.64	23.45	19.66	17.06	16.58	16.79	51.52	20.24	13.47	27.05	20.86	34.21
transcript_4527	20.23	26.6	24.14	14.6	31.95	17.27	21.9	16.36	17.42	19.75	30.08	15.99	19.83	11.69	17.02
transcript_4528	8.73	7.45	14.53	9.08	18.39	9.69	13.33	16.75	12.46	8.38	15.07	11.18	16.63	14.77	12.83
transcript_4529	128.86	127.43	147.62	86.99	93.45	101.81	198.29	97.77	154.49	113.59	174.95	126.63	175.79	151.79	144.13
transcript_453	4.76	7.37	2.85	7.11	8.39	15.72	14.78	13.32	7.69	35.08	31.67	37.76	17.58	14.38	13.62
transcript_4530	53.36	92.21	73.51	57.02	38.03	39.96	21.41	56.43	17.61	18.14	21.92	41.16	24.5	33.98	14.82
transcript_4531	0.25	4.42	0.36	1.18	2.33	5.52	2.48	6.16	8.53	9.41	14.22	12.18	25.78	20.3	21.25
transcript_4532	9.82	5.98	11.16	16.06	23.56	19.48	15.18	21.08	13.22	11.18	14.6	12.78	13.61	7.71	14.35
transcript_4533	11.52	8.27	17.27	13.25	19.06	11.31	12.57	16.22	14.77	12.47	16.48	11.08	23.18	15.63	19.14
transcript_4534	23.88	22.64	28.69	21.75	26.45	21.34	23.69	20.43	23.47	22.45	23.81	20.56	24.8	23.6	26.29
transcript_4535	26.49	39.84	35.93	1.9	36.29	1.92	31.51	32.07	6.13	3.23	38.04	1.97	43.12	28.26	41.87
transcript_4536	1.31	3.42	2.2	1.45	0.66	1.48	0.98	1.04	1.95	1.06	1.49	1.05	0.55	1.13	1.56
transcript_4537	11.19	12.32	12.15	9.78	9.57	10.97	7.28	8.35	5.73	3.9	6.94	7.2	10.36	7.67	9.06
transcript_4538	14.67	26.53	12.15	19.78	22.23	18.06	30.42	29.44	23.01	66.53	48.15	13.63	30.28	31.02	45.19
transcript_4539	44.19	66.81	55.87	36.45	69.24	66.71	0	18.86	48.25	57.74	49.3	52.62	53.52	102.67	20.31
transcript_454	0	0	0	0	0	0.11	0	0	0	0	0	0	0.27	0	0
transcript_4540	0	2.48	0	0	0	0	0	0	0	0	0	0	0	0	0.01
transcript_4541	148.18	187.74	103	61.88	88.36	49.38	2.58	58.34	7.29	131.84	50.25	39.51	7.65	9.98	73.7
transcript_4542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_4543	0.26	0.37	0	11.43	9.18	8.16	0.56	20.52	0.23	0.43	4.03	0.37	3.69	0.07	11.27
transcript_4544	10.88	10.93	19.51	8.1	9.01	8.19	8.38	9.96	9.37	10.64	8.07	11.25	7.7	6.76	9.44
transcript_4545	125.26	124.21	165.6	151.21	177.46	200.18	155.67	165.18	150.93	142.09	177.71	139.22	188.16	156.06	154.39
transcript_4546	24.31	26.54	38.26	26.05	24.79	18.87	22.19	23.75	19.67	20.73	17.97	21.65	15.25	14.75	21.77
transcript_4547	15.26	20.33	23.94	19.98	55.53	17.82	23.4	25.67	21.39	15.6	26.82	26.82	20.31	25.68	27.32
transcript_4548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_4549	9.97	0	0	0	0	0	0	0	10.16	13.99	8.42	0	4.72	0	0
transcript_455	20.21	22.85	21.03	26.61	22.87	24.42	18.35	26.02	22.47	31.2	19.81	20.31	14.6	11.92	21.67
transcript_4551	2.85	2.13	0.7	1.39	2.61	3.2	4.08	3.21	2.82	2.33	5.44	2.42	3.3	1.44	1.59
transcript_4552	5.91	4.05	4.48	2.35	1.57	1.65	1.45	2.04	3289.88	1.65	1.49	1.49	1.36	0.37	1.03
transcript_4553	0	0	0	0	0	0	0	4.42	0	0	0	0	0	0	0
transcript_4554	0	182.7	0	169.9	0	216.99	0	162.07	177.46	0	0	297.73	206.23	388.3	0.74
transcript_4555	94.81	141.43	197.03	165.15	200.91	171.07	232.42	154.17	189.17	203.06	174.14	200.35	157.53	194.99	127.14
transcript_4556	261.7	0.79	0	119.35	0	36.43	53.82	48.26	45.11	62.88	25.05	26.83	2.07	0.48	0.12
transcript_4557	0	0	0	0	1.12	0	0	0	0	0.23	0	0	150.62	0	0
transcript_4558	6.06	6.78	8.47	6.49	7.14	7.91	8.59	9.93	10.89	6.14	11.1	9.88	12.61	12.19	11.33
